Date,DL.Nearest.Settlement,BJ.Nearest.Settlement
2016-01-04,13.56,1.505
2016-01-05,13.5,1.496
2016-01-06,13.52,1.5
2016-01-07,13.57,1.501
2016-01-08,13.68,1.509
2016-01-11,13.72,1.513
2016-01-12,13.72,1.515
2016-01-13,13.74,1.515
2016-01-14,13.76,1.518
2016-01-15,13.78,1.52
2016-01-19,13.75,1.518
2016-01-20,13.75,1.518
2016-01-21,13.74,1.518
2016-01-22,13.72,1.517
2016-01-25,13.72,1.517
2016-01-26,13.72,1.517
2016-01-27,13.72,1.517
2016-01-28,13.74,1.519
2016-01-29,13.73,1.519
2016-02-02,13.91,1.534
2016-02-03,13.9,1.528
2016-02-04,13.93,1.531
2016-02-05,13.83,1.52
2016-02-08,13.78,1.518
2016-02-09,13.81,1.518
2016-02-10,13.78,1.52
2016-02-11,13.88,1.524
2016-02-12,13.87,1.525
2016-02-16,13.84,1.522
2016-02-17,13.83,1.52
2016-02-18,13.84,1.522
2016-02-19,13.82,1.52
2016-02-22,13.81,1.523
2016-02-23,13.81,1.521
2016-02-24,13.81,1.521
2016-02-25,13.8,1.518
2016-02-26,13.8,1.518
2016-02-29,13.8,1.519
2016-03-01,13.56,1.5
2016-03-02,13.63,1.508
2016-03-03,13.77,1.515
2016-03-04,13.78,1.517
2016-03-07,13.87,1.523
2016-03-08,13.87,1.523
2016-03-09,13.82,1.523
2016-03-10,13.8,1.521
2016-03-11,13.79,1.518
2016-03-14,13.79,1.517
2016-03-15,13.79,1.518
2016-03-16,13.8,1.518
2016-03-17,13.83,1.52
2016-03-18,13.83,1.521
2016-03-21,13.83,1.521
2016-03-22,13.82,1.52
2016-03-23,13.82,1.519
2016-03-24,13.77,1.517
2016-03-28,13.77,1.517
2016-03-29,13.8,1.52
2016-03-30,13.76,1.519
2016-03-31,13.78,1.525
2016-04-01,13.81,1.526
2016-04-04,13.75,1.521
2016-04-05,13.72,1.52
2016-04-06,13.7,1.514
2016-04-07,13.72,1.514
2016-04-08,13.74,1.515
2016-04-11,13.76,1.516
2016-04-12,13.81,1.521
2016-04-13,13.77,1.518
2016-04-14,13.71,1.51
2016-04-15,13.72,1.512
2016-04-18,13.71,1.511
2016-04-19,13.71,1.51
2016-04-20,13.69,1.51
2016-04-21,13.65,1.507
2016-04-22,13.65,1.507
2016-04-25,13.64,1.507
2016-04-26,13.63,1.507
2016-04-27,13.63,1.506
2016-04-28,13.63,1.504
2016-04-29,13.62,1.505
2016-05-03,12.95,1.441
2016-05-04,12.93,1.44
2016-05-05,12.87,1.435
2016-05-06,12.87,1.428
2016-05-09,12.75,1.417
2016-05-10,12.74,1.413
2016-05-11,12.78,1.418
2016-05-12,12.73,1.407
2016-05-13,12.73,1.409
2016-05-16,12.74,1.41
2016-05-17,12.75,1.411
2016-05-18,12.75,1.413
2016-05-19,12.8,1.413
2016-05-20,12.82,1.415
2016-05-23,12.82,1.415
2016-05-24,12.82,1.414
